,stopId,routeId,vehicleId,directionId,previousStop,thisStop,waitTime
0,80401,804,1063-1068-1094,0,,2025-11-10 19:09:25,-1.0
1,80139,804,1018-1040-1043,1,,2025-11-10 19:09:59,-1.0
2,80702,803,1232-1234,0,,2025-11-10 19:10:03,-1.0
3,80201,802,571-572-591-592,1,,2025-11-10 19:12:04,-1.0
4,80101,801,1105-1125-1132,1,,2025-11-10 19:12:43,-1.0
5,80314,803,1227-1231,1,,2025-11-10 19:13:52,-1.0
6,80214,805,508-509-521-530,0,,2025-11-10 19:14:11,-1.0
7,80216,805,545-546-595-596,1,,2025-11-10 19:14:57,-1.0
8,80301,807,1197-1203,1,,2025-11-10 19:15:27,-1.0
9,801103,801,1107-1110-1129,0,,2025-11-10 19:15:41,-1.0
10,80101,801,746-750,1,2025-11-10 19:12:43,2025-11-10 19:16:54,4.183333333333334
11,80401,804,1056-1058-1072,0,2025-11-10 19:09:25,2025-11-10 19:17:00,7.583333333333333
12,80214,802,559-560-581-582,0,,2025-11-10 19:18:25,-1.0
13,80401,804,1019-1041-1210,0,2025-11-10 19:17:00,2025-11-10 19:19:01,2.0166666666666666
14,80139,804,1061-1076-1079,1,2025-11-10 19:09:59,2025-11-10 19:19:29,9.5
15,80709,807,1198-1211,0,,2025-11-10 19:19:42,-1.0
16,80101,801,719-726-732,1,2025-11-10 19:16:54,2025-11-10 19:21:04,4.166666666666667
17,80101,801,203-216-222,1,2025-11-10 19:21:04,2025-11-10 19:22:35,1.5166666666666666
18,80702,803,1026-1219,0,2025-11-10 19:10:03,2025-11-10 19:23:50,13.783333333333333
19,80201,802,4005-4006-4023-4024,1,2025-11-10 19:12:04,2025-11-10 19:24:55,12.85
20,801103,801,704-713-727,0,2025-11-10 19:15:41,2025-11-10 19:24:56,9.25
21,80139,804,1002-1004-1054,1,2025-11-10 19:19:29,2025-11-10 19:25:23,5.9
22,80214,805,511-512-517-518,0,2025-11-10 19:14:11,2025-11-10 19:25:53,11.7
23,80216,805,557-558-579-580,1,2025-11-10 19:14:57,2025-11-10 19:27:07,12.166666666666666
24,801103,801,1131-1162-1182,0,2025-11-10 19:24:56,2025-11-10 19:28:48,3.8666666666666667
25,80301,807,1028-1199,1,2025-11-10 19:15:27,2025-11-10 19:28:58,13.516666666666667
26,80214,802,547-548-587-588,0,2025-11-10 19:18:25,2025-11-10 19:29:46,11.35
27,80314,803,301,1,2025-11-10 19:13:52,2025-11-10 19:30:05,16.216666666666665
28,80401,804,1010-1035-1212,0,2025-11-10 19:19:01,2025-11-10 19:31:25,12.4
