,stopId,routeId,directionId,previousStop,thisStop,waitTime
0,80401,804,0,,2025-11-10 19:09:25,-1.0
1,80139,804,1,,2025-11-10 19:09:59,-1.0
2,80702,803,0,,2025-11-10 19:10:03,-1.0
3,80201,802,1,,2025-11-10 19:12:04,-1.0
4,80101,801,1,,2025-11-10 19:12:43,-1.0
5,80314,803,1,,2025-11-10 19:13:52,-1.0
6,80214,805,0,,2025-11-10 19:14:11,-1.0
7,80216,805,1,,2025-11-10 19:14:57,-1.0
8,80301,807,1,,2025-11-10 19:15:27,-1.0
9,801103,801,0,,2025-11-10 19:15:41,-1.0
10,80101,801,1,2025-11-10 19:12:43,2025-11-10 19:16:54,4.183333333333334
11,80401,804,0,2025-11-10 19:09:25,2025-11-10 19:17:00,7.583333333333333
12,80214,802,0,,2025-11-10 19:18:25,-1.0
13,80401,804,0,2025-11-10 19:17:00,2025-11-10 19:19:01,2.0166666666666666
14,80139,804,1,2025-11-10 19:09:59,2025-11-10 19:19:29,9.5
15,80709,807,0,,2025-11-10 19:19:42,-1.0
16,80101,801,1,2025-11-10 19:16:54,2025-11-10 19:21:04,4.166666666666667
17,80101,801,1,2025-11-10 19:21:04,2025-11-10 19:22:35,1.5166666666666666
18,80702,803,0,2025-11-10 19:10:03,2025-11-10 19:23:50,13.783333333333333
19,80201,802,1,2025-11-10 19:12:04,2025-11-10 19:24:55,12.85
20,801103,801,0,2025-11-10 19:15:41,2025-11-10 19:24:56,9.25
21,80139,804,1,2025-11-10 19:19:29,2025-11-10 19:25:23,5.9
22,80214,805,0,2025-11-10 19:14:11,2025-11-10 19:25:53,11.7
23,80216,805,1,2025-11-10 19:14:57,2025-11-10 19:27:07,12.166666666666666
24,801103,801,0,2025-11-10 19:24:56,2025-11-10 19:28:48,3.8666666666666667
25,80301,807,1,2025-11-10 19:15:27,2025-11-10 19:28:58,13.516666666666667
26,80214,802,0,2025-11-10 19:18:25,2025-11-10 19:29:46,11.35
27,80314,803,1,2025-11-10 19:13:52,2025-11-10 19:30:05,16.216666666666665
28,80401,804,0,2025-11-10 19:19:01,2025-11-10 19:31:25,12.4
29,80101,801,1,2025-11-10 19:22:35,2025-11-10 19:31:30,8.916666666666666
30,80709,807,0,2025-11-10 19:19:42,2025-11-10 19:32:23,12.683333333333334
31,80702,803,0,2025-11-10 19:23:50,2025-11-10 19:33:48,9.966666666666667
32,80139,804,1,2025-11-10 19:25:23,2025-11-10 19:34:42,9.316666666666666
33,80201,802,1,2025-11-10 19:24:55,2025-11-10 19:35:58,11.05
34,80214,805,0,2025-11-10 19:25:53,2025-11-10 19:37:29,11.6
35,80101,801,1,2025-11-10 19:31:30,2025-11-10 19:37:39,6.15
36,80211,805,1,,2025-11-10 19:39:24,-1.0
37,80216,805,1,2025-11-10 19:27:07,2025-11-10 19:39:41,12.566666666666666
38,80301,807,1,2025-11-10 19:28:58,2025-11-10 19:39:44,10.766666666666667
39,801103,801,0,2025-11-10 19:28:48,2025-11-10 19:40:50,12.033333333333333
40,80314,803,1,2025-11-10 19:30:05,2025-11-10 19:41:29,11.4
41,80101,801,1,2025-11-10 19:37:39,2025-11-10 19:41:29,3.8333333333333335
42,80401,804,0,2025-11-10 19:31:25,2025-11-10 19:42:06,10.683333333333334
43,80709,807,0,2025-11-10 19:32:23,2025-11-10 19:43:20,10.95
44,80214,802,0,2025-11-10 19:29:46,2025-11-10 19:43:35,13.816666666666666
45,80702,803,0,2025-11-10 19:33:48,2025-11-10 19:44:02,10.233333333333333
46,80139,804,1,2025-11-10 19:34:42,2025-11-10 19:44:18,9.6
47,80401,804,0,2025-11-10 19:42:06,2025-11-10 19:46:47,4.683333333333334
48,80422,801,1,,2025-11-10 19:47:06,-1.0
49,801103,801,0,2025-11-10 19:40:50,2025-11-10 19:47:06,6.266666666666667
