,tripId,routeId,directionId,timestamp,vehicleId,stopSequence,stopId,departureTime,arrivalTime
0,62896267,801,1,2025-11-16 02:06:07,1167-1184,7,80101,,2025-11-16 03:51:52
7,62896266,801,0,2025-11-16 02:06:07,1167-1184,4,80106,,2025-11-16 04:17:18
579,62875194,803,0,2025-11-16 02:32:21,1023-1222,12,80702,,2025-11-16 04:21:43
683,62896435,801,1,2025-11-16 02:34:11,151,18,80109,,2025-11-16 04:35:03
910,62896446,801,1,2025-11-16 02:37:23,block_156_schedBasedVehicle,21,80120,,2025-11-16 04:26:53
1434,62875502,803,1,2025-11-16 02:41:21,block_302_schedBasedVehicle,4,80314,,2025-11-16 04:03:48
1472,62875317,803,0,2025-11-16 02:41:21,block_302_schedBasedVehicle,5,80310,,2025-11-16 04:30:53
1864,62896426,801,1,2025-11-16 02:44:26,1151-1170,16,80416,,2025-11-16 04:32:01
2038,62896442,801,1,2025-11-16 02:45:30,block_155_schedBasedVehicle,19,80409,,2025-11-16 04:33:03
2057,62514816,804,0,2025-11-16 02:45:30,block_402_schedBasedVehicle,26,80401,,2025-11-16 04:36:26
2083,62896251,801,0,2025-11-16 02:45:30,block_104_schedBasedVehicle,18,80409,,2025-11-16 04:37:06
2447,62896423,801,0,2025-11-16 02:46:26,704-713,16,80424,,2025-11-16 04:42:14
2463,62514839,804,0,2025-11-16 02:46:33,1018-1040-1043,11,80401,,2025-11-16 04:20:34
2483,62514803,804,1,2025-11-16 02:46:33,1018-1040-1043,6,80406,,2025-11-16 04:46:51
3770,62896446,801,1,2025-11-16 02:50:29,1152-1157,17,81402,,2025-11-16 04:17:56
3907,62896254,801,1,2025-11-16 02:50:32,1135-1145,17,80101,,2025-11-16 04:36:21
4347,62896428,801,1,2025-11-16 02:51:33,1107-1110,16,80416,,2025-11-16 04:52:50
4999,62875317,803,0,2025-11-16 02:52:30,1026-1219,2,80313,,2025-11-16 04:18:34
5144,62514811,804,1,2025-11-16 02:53:30,block_453_schedBasedVehicle,22,80139,,2025-11-16 04:43:10
6134,62896260,801,0,2025-11-16 02:55:30,1098-1118,19,80423,,2025-11-16 04:47:43
7107,62875491,807,0,2025-11-16 02:57:40,block_703_schedBasedVehicle,13,80709,,2025-11-16 04:28:29
7120,62875287,803,1,2025-11-16 02:57:40,block_303_schedBasedVehicle,11,80314,,2025-11-16 04:27:08
7199,62875289,803,0,2025-11-16 02:57:40,block_303_schedBasedVehicle,5,80310,,2025-11-16 04:48:25
7210,62875326,807,1,2025-11-16 02:57:40,block_703_schedBasedVehicle,1,80709,2025-11-16 04:48:00,
8404,62896251,801,0,2025-11-16 03:00:01,202-229,15,81401,,2025-11-16 04:29:45
9359,62514810,804,1,2025-11-16 03:01:39,block_452_schedBasedVehicle,23,80133,,2025-11-16 04:48:46
9398,62896284,801,1,2025-11-16 03:01:39,block_105_schedBasedVehicle,7,80101,,2025-11-16 04:16:03
9457,62896261,801,0,2025-11-16 03:01:39,block_105_schedBasedVehicle,9,80111,,2025-11-16 04:53:49
9822,62896442,801,1,2025-11-16 03:02:32,1138-1158,16,80412,,2025-11-16 04:27:41
11923,62514798,804,0,2025-11-16 03:05:42,block_403_schedBasedVehicle,23,80404,,2025-11-16 04:54:33
11946,62896253,801,0,2025-11-16 03:05:42,block_106_schedBasedVehicle,20,80411,,2025-11-16 04:57:39
14853,62875318,807,1,2025-11-16 03:09:41,block_701_schedBasedVehicle,13,80301,,2025-11-16 04:40:55
14889,62875348,807,0,2025-11-16 03:09:41,block_701_schedBasedVehicle,1,80301,2025-11-16 05:00:00,
15986,62020506,802,0,2025-11-16 03:11:10,201,14,80214,,2025-11-16 05:12:27
16012,62020548,802,1,2025-11-16 03:11:10,201,2,80213,,2025-11-16 05:15:59
17900,62020540,802,1,2025-11-16 03:13:42,block_202_schedBasedVehicle,14,80201,,2025-11-16 04:44:05
17951,62020507,802,0,2025-11-16 03:13:42,block_202_schedBasedVehicle,2,80202,,2025-11-16 04:55:49
19119,62514809,804,1,2025-11-16 03:15:07,451,21,80131,,2025-11-16 05:02:12
20807,62875499,803,1,2025-11-16 03:17:18,block_304_schedBasedVehicle,11,80314,,2025-11-16 04:45:51
20876,62875492,803,0,2025-11-16 03:17:18,block_304_schedBasedVehicle,6,80309,,2025-11-16 05:08:54
23273,62514810,804,1,2025-11-16 03:20:19,452,20,80130,,2025-11-16 04:41:25
24342,62875325,807,0,2025-11-16 03:21:25,block_704_schedBasedVehicle,13,80709,,2025-11-16 04:51:45
24398,62875330,807,1,2025-11-16 03:21:25,block_704_schedBasedVehicle,3,80707,,2025-11-16 05:10:57
26255,62514816,804,0,2025-11-16 03:23:41,402,22,80405,,2025-11-16 04:27:46
26620,62875322,807,1,2025-11-16 03:23:41,1196-1208,13,80301,,2025-11-16 04:59:08
27994,62514802,804,0,2025-11-16 03:25:28,block_405_schedBasedVehicle,23,80404,,2025-11-16 05:14:34
31898,62896440,801,1,2025-11-16 03:29:28,block_157_schedBasedVehicle,18,80414,,2025-11-16 05:19:09
35945,62020545,802,1,2025-11-16 03:33:29,block_204_schedBasedVehicle,14,80201,,2025-11-16 05:05:12
35998,62020508,802,0,2025-11-16 03:33:29,block_204_schedBasedVehicle,4,80204,,2025-11-16 05:21:07
36522,62896446,801,1,2025-11-16 03:34:29,1152-1157,19,80122,,2025-11-16 04:19:20
39127,62896446,801,1,2025-11-16 03:36:54,1152-1157,20,80121,,2025-11-16 04:21:29
39435,62896266,801,0,2025-11-16 03:36:56,1104-1106,5,80107,,2025-11-16 04:21:50
40075,62896261,801,0,2025-11-16 03:37:23,1121-1127,6,80108,,2025-11-16 04:43:59
40145,62514800,804,0,2025-11-16 03:37:28,block_404_schedBasedVehicle,23,80407,,2025-11-16 05:27:50
40319,62514811,804,1,2025-11-16 03:37:55,1063-1085-1093,19,80136,,2025-11-16 04:34:50
41571,62896266,801,0,2025-11-16 03:38:56,1104-1106,6,80108,,2025-11-16 04:23:42
43234,62875317,803,0,2025-11-16 03:40:32,1026-1219,3,80312,,2025-11-16 04:25:17
44482,62020604,805,0,2025-11-16 03:41:38,block_203_schedBasedVehicle,8,80214,,2025-11-16 04:56:12
44490,62875321,807,0,2025-11-16 03:41:38,block_705_schedBasedVehicle,13,80709,,2025-11-16 05:14:34
44512,62020547,805,1,2025-11-16 03:41:38,block_203_schedBasedVehicle,8,80216,,2025-11-16 05:18:40
44529,62020603,805,0,2025-11-16 03:41:38,block_203_schedBasedVehicle,3,80209,,2025-11-16 05:29:38
44532,62875323,807,1,2025-11-16 03:41:38,block_705_schedBasedVehicle,3,80707,,2025-11-16 05:30:31
45410,62896266,801,0,2025-11-16 03:42:30,1104-1106,7,80109,,2025-11-16 04:27:10
46256,62896446,801,1,2025-11-16 03:43:32,1152-1157,22,80119,,2025-11-16 04:28:25
46607,62875317,803,0,2025-11-16 03:43:30,1026-1219,4,80311,,2025-11-16 04:28:07
46857,62896442,801,1,2025-11-16 03:44:04,1138-1158,17,80411,,2025-11-16 04:28:21
47667,62896253,801,0,2025-11-16 03:44:28,1096-1116,17,81403,,2025-11-16 04:49:32
48569,62896442,801,1,2025-11-16 03:45:37,1138-1158,18,80410,,2025-11-16 04:30:22
48585,62514816,804,0,2025-11-16 03:45:36,1006-1008-1036,23,80404,,2025-11-16 04:30:25
48841,62896266,801,0,2025-11-16 03:45:33,1104-1106,8,80110,,2025-11-16 04:30:20
49178,62896251,801,0,2025-11-16 03:46:05,1147-1159,17,81403,,2025-11-16 04:30:12
50830,62896446,801,1,2025-11-16 03:47:32,1152-1157,23,80118,,2025-11-16 04:32:19
51746,62875317,803,0,2025-11-16 03:48:04,1026-1219,6,80309,,2025-11-16 04:32:46
52266,62896266,801,0,2025-11-16 03:48:36,1104-1106,9,80111,,2025-11-16 04:33:15
53115,62896446,801,1,2025-11-16 03:49:30,1152-1157,24,80117,,2025-11-16 04:33:20
53461,62875317,803,0,2025-11-16 03:49:31,1026-1219,7,80308,,2025-11-16 04:34:30
53656,62896288,801,1,2025-11-16 03:49:40,block_158_schedBasedVehicle,18,80414,,2025-11-16 05:38:13
53742,62514816,804,0,2025-11-16 03:50:00,1006-1008-1036,24,80403,,2025-11-16 04:34:27
54329,62514816,804,0,2025-11-16 03:50:39,1006-1008-1036,25,80402,,2025-11-16 04:35:22
54525,62514798,804,0,2025-11-16 03:50:41,1009-1034-1046,21,80406,,2025-11-16 04:48:35
54779,62875236,803,1,2025-11-16 03:50:39,1023-1222,1,80702,2025-11-16 04:35:00,
55358,62875289,803,0,2025-11-16 03:51:11,1228-1233,2,80313,,2025-11-16 04:36:32
55481,62896442,801,1,2025-11-16 03:51:41,1138-1158,20,81403,,2025-11-16 04:35:54
55942,62875236,803,1,2025-11-16 03:51:44,1023-1222,2,80701,,2025-11-16 04:36:21
56044,62896446,801,1,2025-11-16 03:51:57,1152-1157,25,80116,,2025-11-16 04:36:50
56330,62896266,801,0,2025-11-16 03:52:11,1104-1106,10,80112,,2025-11-16 04:36:58
56685,62896251,801,0,2025-11-16 03:52:41,1147-1159,19,80410,,2025-11-16 04:37:27
56743,62514811,804,1,2025-11-16 03:52:45,1063-1085-1093,20,80137,,2025-11-16 04:37:35
56967,62875317,803,0,2025-11-16 03:52:41,1026-1219,8,80307,,2025-11-16 04:37:31
57795,62896446,801,1,2025-11-16 03:53:39,1152-1157,26,80115,,2025-11-16 04:38:35
57815,62896442,801,1,2025-11-16 03:53:36,1138-1158,21,81402,,2025-11-16 04:38:35
58349,62020546,802,1,2025-11-16 03:53:40,block_206_schedBasedVehicle,14,80201,,2025-11-16 05:24:04
58394,62020509,802,0,2025-11-16 03:53:40,block_206_schedBasedVehicle,5,80205,,2025-11-16 05:42:57
59084,62896435,801,1,2025-11-16 03:54:21,722-747,19,80108,,2025-11-16 04:38:45
59407,62896440,801,1,2025-11-16 03:54:41,1146-1168,16,80416,,2025-11-16 05:10:18
59685,62514811,804,1,2025-11-16 03:55:11,1063-1085-1093,21,80138,,2025-11-16 04:39:35
59854,62896266,801,0,2025-11-16 03:55:11,1104-1106,11,80113,,2025-11-16 04:39:41
59908,62875317,803,0,2025-11-16 03:55:12,1026-1219,9,80306,,2025-11-16 04:40:01
60170,62896446,801,1,2025-11-16 03:55:40,1152-1157,27,80114,,2025-11-16 04:40:23
60190,62896442,801,1,2025-11-16 03:55:44,1138-1158,22,81401,,2025-11-16 04:40:07
60636,62875236,803,1,2025-11-16 03:55:44,1023-1222,3,80305,,2025-11-16 04:40:18
60815,62896251,801,0,2025-11-16 03:56:16,1147-1159,20,80411,,2025-11-16 04:41:12
60831,62896426,801,1,2025-11-16 03:56:16,1151-1170,17,80415,,2025-11-16 04:35:47
61432,62896426,801,1,2025-11-16 03:56:46,1151-1170,18,80414,,2025-11-16 04:41:16
61457,62896435,801,1,2025-11-16 03:56:41,722-747,20,80107,,2025-11-16 04:41:36
62579,62896442,801,1,2025-11-16 03:57:44,1138-1158,23,80122,,2025-11-16 04:42:39
62841,62896266,801,0,2025-11-16 03:57:43,1104-1106,12,80114,,2025-11-16 04:42:20
63159,62896446,801,1,2025-11-16 03:58:07,1152-1157,28,80113,,2025-11-16 04:42:52
63495,62875317,803,0,2025-11-16 03:58:08,1026-1219,10,80305,,2025-11-16 04:43:07
63636,62875289,803,0,2025-11-16 03:58:07,1228-1233,3,80312,,2025-11-16 04:43:00
63639,62875236,803,1,2025-11-16 03:58:06,1023-1222,4,80306,,2025-11-16 04:43:04
63819,62896251,801,0,2025-11-16 03:58:37,1147-1159,21,80412,,2025-11-16 04:43:27
64458,62896435,801,1,2025-11-16 03:59:12,722-747,21,80106,,2025-11-16 04:44:11
64924,62020507,802,0,2025-11-16 03:59:06,202,1,80201,2025-11-16 04:51:00,
65236,62896266,801,0,2025-11-16 03:59:32,1104-1106,13,80115,,2025-11-16 04:44:25
65719,62514810,804,1,2025-11-16 03:59:54,452,21,80131,,2025-11-16 04:44:04
66056,62514803,804,1,2025-11-16 04:00:14,1018-1040-1043,4,80404,,2025-11-16 04:42:55
66148,62896446,801,1,2025-11-16 04:00:45,1152-1157,29,80112,,2025-11-16 04:45:21
66168,62896442,801,1,2025-11-16 04:00:43,1138-1158,24,80121,,2025-11-16 04:44:34
66205,62896251,801,0,2025-11-16 04:00:43,1147-1159,22,80413,,2025-11-16 04:45:36
66332,62896423,801,0,2025-11-16 04:00:44,704-713,17,80425,,2025-11-16 04:45:32
66621,62875289,803,0,2025-11-16 04:00:46,1228-1233,4,80311,,2025-11-16 04:45:34
66625,62875236,803,1,2025-11-16 04:00:41,1023-1222,5,80307,,2025-11-16 04:45:40
66653,62514803,804,1,2025-11-16 04:00:44,1018-1040-1043,5,80405,,2025-11-16 04:45:25
66818,62896426,801,1,2025-11-16 04:01:17,1151-1170,19,80413,,2025-11-16 04:45:57
66960,62514798,804,0,2025-11-16 04:01:18,1009-1034-1046,20,80407,,2025-11-16 04:47:32
67072,62875317,803,0,2025-11-16 04:01:17,1026-1219,11,80701,,2025-11-16 04:46:16
67311,62020605,805,0,2025-11-16 04:01:19,block_205_schedBasedVehicle,8,80214,,2025-11-16 05:16:20
67339,62020551,805,1,2025-11-16 04:01:19,block_205_schedBasedVehicle,8,80216,,2025-11-16 05:42:04
67355,62020606,805,0,2025-11-16 04:01:19,block_205_schedBasedVehicle,3,80209,,2025-11-16 05:50:49
67453,62896435,801,1,2025-11-16 04:01:24,722-747,22,80105,,2025-11-16 04:45:43
